comments,disposition,incident,location,occurred,predicted_incident,reported,reported_date,season,ucpd_id,validated_address,validated_location
Credit cards taken from wallet in unsecured locker / Unauthorized use of credit cards reported,Open,Theft,5530 S. Ellis Ave. (Ratner A.C.),11/13/25 2:00 PM to 3:00 PM,,2025-11-13 17:55:00-06:00,2025-11-13,Fall,25-01524,"5530 S Ellis Ave, Chicago, Il, 60637",[ 41.79444356 -87.60144801]
Three unknown subjects used deception to use victim's phone off-campus to access funds from victim's bank account / Referred to CPD,Referred,Information / Deceptive Practice,5427 S. University Ave. (Public Way),11/13/25 3:30 PM,,2025-11-13 16:23:00-06:00,2025-11-13,Fall,2025-062628,"5427 S University Ave, Chicago, Il, 60615",[ 41.79719297 -87.59805036]
"Wallet taken from unattended, unsecured backpack in unsecured office / Unauthorized use of credit cards reported",Open,Theft,929 E. 57th St. (Gordon Center),11/13/25 12:40 PM to 1:50 PM,,2025-11-13 14:43:00-06:00,2025-11-13,Fall,25-01523,"929 E 57th St, Chicago, Il, 60637",[ 41.79131786 -87.6030103 ]
Secured electric scooter taken from bike rack,Open,Theft,6031 S. Ellis Ave. (Granville-Grossman RH Bike Rack),11/11/25 to 11/13/25 2:00 PM to 12:00 PM,,2025-11-13 14:02:00-06:00,2025-11-13,Fall,25-01522,"6031 S Ellis Ave, Chicago, Il, 60637",[ 41.78535247 -87.60110174]
Unknown subjects took a catalytic converter from a vehicle parked on the street off-campus / Referred to CPD,Referred,Information / Theft from Motor Vehicle,1401 E. 56th St. (Public Way),11/13/25 6:44 AM,,2025-11-13 06:45:00-06:00,2025-11-13,Fall,2025-062561,"1401 E 56th St, Chicago, Il, 60637",[ 41.79327086 -87.59156242]
Bicycle found on the street was inventoried at UCPD for safekeeping,Closed,Found Property,1414 E. 59th St. (Public Way),11/12/25 11:39 PM,,2025-11-12 23:41:00-06:00,2025-11-12,Fall,25-01521,"1414 E 59th St, Chicago, Il, 60637",[ 41.78791518 -87.59109314]
Three unknown subjects used deception to use victim's cell phone to take cash from victim's bank account / CPD case JJ487091,CPD,Information / Deceptive Practice,5300 S. Greenwood Ave. (Public Way),11/12/25 5:10 PM,,2025-11-12 21:22:00-06:00,2025-11-12,Fall,2025-062408,"5300 S Greenwood Ave, Chicago, Il, 60615",[ 41.79936322 -87.59981525]
A key fob was found on UC Shuttle Bus and turned over to UCPD for safekeeping,Closed,Found Property,850 E. 61st St. (UCPD HQ),11/12/25 5:50 PM,,2025-11-12 20:14:00-06:00,2025-11-12,Fall,25-01520,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
A patient making verbal threats to UCM staff was documented,Closed,Information,5656 S. Maryland Ave. (UCMED),11/12/25 11:10 AM to 7:05 PM,Aggravated Assault of a Police Officer,2025-11-12 19:21:00-06:00,2025-11-12,Fall,25-01518,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297]
Three unknown subjects used deception to use victim's debit card to take cash from victim's bank account,Open,Deceptive Practice / Confidence Game,5600 S. Woodlawn Ave. (Public Way),11/12/25 4:50 PM,,2025-11-12 19:21:00-06:00,2025-11-12,Fall,25-01519,"5600 S Woodlawn Ave, Chicago, Il, 60637",[ 41.79320681 -87.59657467]
"Wallet taken from unsecured, unattended wallet left in unsecured office",Open,Theft,5815 S. Maryland Ave. (Mitchell Hospital),11/12/25 2:20 PM to 3:45 PM,,2025-11-12 15:58:00-06:00,2025-11-12,Fall,25-01517,"5815 S Maryland Ave, Chicago, Il, 60637",[ 41.78922352 -87.60487504]
A mental health patient restrained by staff,Closed,Information,5656 S. Maryland Ave. (UCMED),11/12/25 11:00 AM,,2025-11-12 11:18:00-06:00,2025-11-12,Fall,25-01516,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297]
Window smashed and property taken from a vehicle parked on the street off-campus,Open,Theft,5309 S. Kimbark Ave. (Public Way),11/11/25 to 11/12/25 8:00 PM to 5:15 AM,,2025-11-12 05:32:00-06:00,2025-11-12,Fall,25-01515,"5309 S Kimbark Ave, Chicago, Il, 60615",[ 41.79917041 -87.59494177]
A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD officers,Arrest,Theft,1554 E. 55th St. (Walgreens),11/11/25 5:08 PM,,2025-11-11 17:08:00-06:00,2025-11-11,Fall,25-01514,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),11/11/25 4:40 PM,,2025-11-11 16:40:00-06:00,2025-11-11,Fall,2025-062128,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
