countryname,iso3,percent_of_protected_land_area,state_capacity_score
Afghanistan,AFG,0.4,-1.046
Angola,AGO,7,-0.1073
Albania,ALB,2.6,0.55489999
United Arab Emirates,ARE,18.6,0.7112
Argentina,ARG,8.699999999999999,0.80949998
Armenia,ARM,23.1,1.071
Australia,AUS,14.7,2.2179999
Austria,AUT,28.4,2.4790001
Azerbaijan,AZE,10.2,0.05768
Burundi,BDI,7,-0.64170003
Belgium,BEL,22.8,2.3789999
Benin,BEN,28.9,0.122
Burkina Faso,BFA,15.8,0.1683
Bangladesh,BGD,4.6,0.01227
Bulgaria,BGR,40.6,1.165
Bahrain,BHR,6.6,0.4698
Bosnia and Herzegovina,BIH,1.5,0.28549999
Belarus,BLR,8.800000000000001,0.90869999
Bolivia,BOL,30.9,0.50209999
Brazil,BRA,28.5,0.73820001
Bhutan,BTN,48,0.6275
Botswana,BWA,29.1,0.62129998
Central African Republic,CAF,18.1,-1.541
Canada,CAN,9.300000000000001,2.095
Switzerland,CHE,9.699999999999999,2.2720001
Chile,CHL,18.3,1.503
China,CHN,17.1,0.71450001
Cote d'Ivoire,CIV,22.9,-0.071359999
Cameroon,CMR,10.9,-0.40689999
"Congo, Dem. Rep.",COD,12.7,-0.99119997
"Congo, Rep.",COG,37.1,-0.46540001
Colombia,COL,13.9,0.61809999
Comoros,COM,10.2,-0.9382
Cabo Verde,CPV,2.6,0.486
Costa Rica,CRI,27.6,0.8696
Cuba,CUB,12.4,0.56599998
Cyprus,CYP,18.4,0.926
Czechia,CZE,21.7,1.586
Germany,DEU,37.4,2.3010001
Djibouti,DJI,1.6,-0.42879999
Denmark,DNK,25.6,2.697
Dominican Republic,DOM,23,0.59859997
Algeria,DZA,7.5,0.1428
Ecuador,ECU,20,0.5636
"Egypt, Arab Rep.",EGY,13.1,0.25690001
Eritrea,ERI,4.9,-1.234
Spain,ESP,28,2.003
Estonia,EST,20.1,1.702
Ethiopia,ETH,18.5,0.1021
Finland,FIN,15,2.3369999
Fiji,FJI,5.4,0.4425
France,FRA,25.6,1.642
Gabon,GAB,20.1,-0.2089
United Kingdom,GBR,28.7,1.777
Georgia,GEO,8.300000000000001,0.90210003
Ghana,GHA,15.1,0.255
Guinea,GIN,30.7,-0.2401
"Gambia, The",GMB,4.1,-0.1567
Guinea-Bissau,GNB,16.2,-0.8603
Equatorial Guinea,GNQ,23.3,-0.52069998
Greece,GRC,35,1.418
Guatemala,GTM,31.7,0.1455
Guyana,GUY,8.699999999999999,0.20829999
Honduras,HND,28,0.3418
Croatia,HRV,38,1.406
Haiti,HTI,0.3,-1.152
Hungary,HUN,22.6,1.517
Indonesia,IDN,11.9,0.67430001
India,IND,6,0.76700002
Ireland,IRL,14.4,2.0090001
"Iran, Islamic Rep.",IRN,7.2,0.5043
